u,v,length,highway,geometry,edge_id
1472212581,7371620976,47.454,tertiary,"LINESTRING (77.6663785 12.8232055, 77.666142 12.8231866, 77.6659417 12.8231808)",118
1472212587,10198883257,172.72899999999998,residential,"LINESTRING (77.66478 12.8233283, 77.6648267 12.8242727, 77.664854 12.82488)",119
1472212587,7385315169,47.359,tertiary,"LINESTRING (77.66478 12.8233283, 77.6647918 12.8232923, 77.6648293 12.8232628, 77.6648819 12.8232423, 77.665175 12.8232343)",120
1472212587,5279431572,391.19800000000004,tertiary,"LINESTRING (77.66478 12.8233283, 77.6647478 12.8233529, 77.6647032 12.8233746, 77.6646277 12.8233673, 77.6645121 12.82336, 77.6644052 12.8233373, 77.6643069 12.8233296, 77.6641588 12.8233347, 77.6639471 12.8233485, 77.6638598 12.8233861, 77.6638488 12.8238769, 77.6635373 12.8238811, 77.6619056 12.8239101, 77.6617482 12.8240527)",121
1472212597,10199293846,25.368,residential,"LINESTRING (77.6692401 12.8234302, 77.6692589 12.8232028)",122
1472212597,1817170763,75.975,tertiary,"LINESTRING (77.6692401 12.8234302, 77.6696469 12.8232103, 77.6697373 12.8231483, 77.669796 12.8230406)",123
1472212597,6888351646,91.20100000000001,tertiary,"LINESTRING (77.6692401 12.8234302, 77.6686218 12.8234299, 77.6684113 12.8233585)",124
1472212597,10199205782,24.774,tertiary,"LINESTRING (77.6692401 12.8234302, 77.66913 12.8234948, 77.6690519 12.8235557)",125
1472212597,5279431599,58.128,tertiary,"LINESTRING (77.6692401 12.8234302, 77.6693413 12.8235516, 77.6693918 12.8237022, 77.6694931 12.8238851)",126
1472212613,5279431608,17.887,tertiary,"LINESTRING (77.6705377 12.8249324, 77.6704018 12.8248412)",127
1472212613,6180386292,208.058,residential,"LINESTRING (77.6705377 12.8249324, 77.6703643 12.8249455, 77.6702727 12.8249654, 77.6702357 12.8249744, 77.6700528 12.8249893, 77.6699828 12.8250091, 77.6699106 12.8250246, 77.6698436 12.8250507, 77.6697928 12.8250697, 77.6697206 12.8250809, 77.6696609 12.8250929, 77.6696105 12.8251096, 77.6695674 12.8251302, 77.6695394 12.8251575, 77.6695197 12.8251927, 77.669498 12.8252417, 77.6694412 12.8253061, 77.6693595 12.8253762, 77.6692704 12.8254353, 77.6691969 12.8254662, 77.669039 12.8254846, 77.6689233 12.8254865, 77.6687971 12.8254999)",128
1472212613,10199175820,22.601,tertiary,"LINESTRING (77.6705377 12.8249324, 77.6706072 12.824965, 77.6706618 12.8249905, 77.6707256 12.8250204)",129
1472212617,5922720525,61.454,tertiary,"LINESTRING (77.6837616 12.8250417, 77.6841035 12.8246009)",130
1472212617,2389211797,108.88900000000001,tertiary,"LINESTRING (77.6837616 12.8250417, 77.6833525 12.825617, 77.6832081 12.8258581)",131
1472212617,1814804288,134.643,residential,"LINESTRING (77.6837616 12.8250417, 77.6839622 12.8250851, 77.6841545 12.8251122, 77.6842784 12.8251187, 77.6845445 12.8251363, 77.6847468 12.8251362, 77.6849949 12.8251566)",132
1472212621,5279431613,25.447,tertiary,"LINESTRING (77.6719331 12.8252031, 77.6717021 12.8252436)",133
1472212621,2389211770,41.759,tertiary,"LINESTRING (77.6719331 12.8252031, 77.6720042 12.8254679, 77.6720415 12.825563)",134
1472212621,11365900541,24.773999999999997,residential,"LINESTRING (77.6719331 12.8252031, 77.6719298 12.8251898, 77.6718771 12.8249871)",135
1472212638,2389211699,40.375,tertiary,"LINESTRING (77.6790097 12.8261084, 77.6793814 12.8260862)",136
1472212638,2389211735,25.43,residential,"LINESTRING (77.6790097 12.8261084, 77.6789725 12.8258826)",137
1472212638,2389211701,43.7,tertiary,"LINESTRING (77.6790097 12.8261084, 77.6787598 12.8261426, 77.6786162 12.8261872)",138
1472212655,1827518845,15.07,tertiary,"LINESTRING (77.6731722 12.8261748, 77.6732028 12.826307)",139
1472212655,7374411165,89.678,tertiary,"LINESTRING (77.6731722 12.8261748, 77.6728714 12.8262002, 77.6727482 12.8261859, 77.6726318 12.826107, 77.6724283 12.8259502)",140
1472212655,5279431620,12.748,living_street,"LINESTRING (77.6731722 12.8261748, 77.6731588 12.8260897, 77.6731869 12.8260817)",141
1472212657,11027148285,67.623,tertiary,"LINESTRING (77.6825751 12.8261127, 77.6825257 12.8261122, 77.6819514 12.8261098)",142
1472212657,2389211789,101.162,tertiary,"LINESTRING (77.6825751 12.8261127, 77.6823556 12.8265228, 77.6823078 12.8266121, 77.6821504 12.8269227)",143
1472212657,1724068162,255.812,tertiary,"LINESTRING (77.6825751 12.8261127, 77.6826564 12.8259295, 77.6827703 12.8256641, 77.6829634 12.825345, 77.6832224 12.8250298, 77.68385 12.8241903)",144
1472212664,9780835309,11.011,tertiary,"LINESTRING (77.673463 12.8265215, 77.6733767 12.8264693)",145
1472212664,10199162753,52.65,residential,"LINESTRING (77.673463 12.8265215, 77.6729783 12.8265505)",146
1472212664,1472212675,85.716,tertiary,"LINESTRING (77.673463 12.8265215, 77.6738112 12.826766, 77.673868 12.8268331, 77.6739654 12.8269119, 77.6741082 12.8269401)",147
1472212675,1472212679,33.741,tertiary,"LINESTRING (77.6741082 12.8269401, 77.6742142 12.8270312, 77.6742791 12.8271843)",148
1472212675,1472212664,85.71600000000001,tertiary,"LINESTRING (77.6741082 12.8269401, 77.6739654 12.8269119, 77.673868 12.8268331, 77.6738112 12.826766, 77.673463 12.8265215)",149
1472212675,2389211769,206.932,residential,"LINESTRING (77.6741082 12.8269401, 77.6739696 12.8262412, 77.6742167 12.8261397, 77.674144 12.8256111, 77.6740888 12.8254565, 77.6740395 12.825272)",150
1472212679,1472212681,15.39,tertiary,"LINESTRING (77.6742791 12.8271843, 77.6743982 12.8272596)",151
1472212679,1472212675,33.741,tertiary,"LINESTRING (77.6742791 12.8271843, 77.6742142 12.8270312, 77.6741082 12.8269401)",152
1472212679,10224900665,169.20100000000002,tertiary,"LINESTRING (77.6742791 12.8271843, 77.6730291 12.8271727, 77.6729478 12.8271916, 77.6728867 12.8272389, 77.6728347 12.8272951, 77.6727823 12.8273423)",153
1472212681,1472212679,15.39,tertiary,"LINESTRING (77.6743982 12.8272596, 77.6742791 12.8271843)",154
1472212681,1472212691,126.447,tertiary,"LINESTRING (77.6743982 12.8272596, 77.6746624 12.8274895, 77.6749188 12.8277257, 77.6751899 12.8277149, 77.6753777 12.8277046)",155
1472212681,2389211784,37.271,residential,"LINESTRING (77.6743982 12.8272596, 77.6744899 12.8272011, 77.6745484 12.8271472, 77.6746043 12.8270076)",156
1472212685,10287251398,73.462,residential,"LINESTRING (77.67614 12.8272791, 77.6763698 12.8279006)",157
1472212685,2389211741,152.95100000000002,tertiary,"LINESTRING (77.67614 12.8272791, 77.6765409 12.827124, 77.6772365 12.826819, 77.6774221 12.8267099)",158
