edge_id,u,v,key,length,highway,geometry
427,10593671378,7260287924,0,99.45086528281989,residential,"LINESTRING (77.6989781 12.8170915, 77.6989737 12.8173643, 77.6988557 12.8176259, 77.6986866 12.8178481, 77.6986463 12.8178922)"
428,10593671378,10593671373,0,98.19880841812245,living_street,"LINESTRING (77.6989781 12.8170915, 77.6985097 12.8171078, 77.6983488 12.8171407, 77.6982309 12.817212, 77.6982176 12.8172901, 77.6982099 12.8173409)"
429,10593671379,7260287924,0,7.863296088995841,residential,"LINESTRING (77.6985738 12.817894, 77.6986463 12.8178922)"
430,10593671379,7260287929,0,143.1966262014567,residential,"LINESTRING (77.6985738 12.817894, 77.6984131 12.8178821, 77.698338 12.8179043, 77.6980175 12.8181123, 77.6973228 12.8180697)"
431,10593671379,10593671380,0,41.467867425999835,residential,"LINESTRING (77.6985738 12.817894, 77.6985872 12.8175213)"
432,10593671380,10593671379,0,41.467867425999835,residential,"LINESTRING (77.6985872 12.8175213, 77.6985738 12.817894)"
433,11007224148,2389211796,0,32.64897548869872,residential,"LINESTRING (77.6834245 12.8260407, 77.6831259 12.8260027)"
434,11007224148,11007224149,0,55.896438324100004,residential,"LINESTRING (77.6834245 12.8260407, 77.6834386 12.8265432)"
435,11007224148,11027164733,0,28.66801570095083,residential,"LINESTRING (77.6834245 12.8260407, 77.6836867 12.826074)"
436,11007224149,11007224148,0,55.896438324100004,residential,"LINESTRING (77.6834386 12.8265432, 77.6834245 12.8260407)"
437,11007224149,11027164733,0,72.791657419212,residential,"LINESTRING (77.6834386 12.8265432, 77.6836342 12.8265122, 77.6836815 12.8264779, 77.6836867 12.826074)"
438,11009893414,5395327190,0,66.23671320896895,residential,"LINESTRING (77.6883673 12.8205757, 77.6879024 12.8206149, 77.6877601 12.8206381)"
439,11009893414,9992847509,0,221.98267537944318,residential,"LINESTRING (77.6883673 12.8205757, 77.689358 12.8204922, 77.6897639 12.820458, 77.6902359 12.8204005, 77.6904053 12.8203878)"
440,11009893414,11009893415,0,187.10995715504143,residential,"LINESTRING (77.6883673 12.8205757, 77.6884211 12.8222576)"
441,11009893415,11009893414,0,187.10995715504143,residential,"LINESTRING (77.6884211 12.8222576, 77.6883673 12.8205757)"
442,11009962479,5395327195,0,189.09744902512773,residential,"LINESTRING (77.6937155 12.8200304, 77.6931748 12.8200816, 77.6928085 12.8201163, 77.6927912 12.8201179, 77.6919796 12.8201948)"
443,11009962479,7260287938,0,445.7063958932659,residential,"LINESTRING (77.6937155 12.8200304, 77.6940572 12.819998, 77.6950335 12.8199143, 77.6951192 12.8199034, 77.69532 12.819878, 77.695843 12.8198335, 77.6957539 12.8190794, 77.6956973 12.8185364, 77.6956946 12.8185105, 77.6956628 12.8182065, 77.6956432 12.8179193)"
444,11009962479,11009962487,0,311.0999334931416,residential,"LINESTRING (77.6937155 12.8200304, 77.6938489 12.8214009, 77.6938621 12.8214662, 77.6939039 12.8215151, 77.6939702 12.8215274, 77.6940527 12.8215191, 77.6950314 12.8214195, 77.6950866 12.8214236, 77.6951555 12.8214505, 77.6951957 12.8214938)"
445,11009962487,11009962479,0,311.0999334931416,residential,"LINESTRING (77.6951957 12.8214938, 77.6951555 12.8214505, 77.6950866 12.8214236, 77.6950314 12.8214195, 77.6940527 12.8215191, 77.6939702 12.8215274, 77.6939039 12.8215151, 77.6938621 12.8214662, 77.6938489 12.8214009, 77.6937155 12.8200304)"
446,11009962487,11009962490,0,81.8124262020189,residential,"LINESTRING (77.6951957 12.8214938, 77.6951917 12.8215841, 77.6951725 12.8222292)"
447,11009962487,11022372291,0,28.722071832935466,residential,"LINESTRING (77.6951957 12.8214938, 77.6951809 12.8212359)"
448,11009962490,11009962487,0,81.8124262020189,residential,"LINESTRING (77.6951725 12.8222292, 77.6951917 12.8215841, 77.6951957 12.8214938)"
449,11010072955,7147141395,0,140.90082009843465,residential,"LINESTRING (77.6893586 12.8169206, 77.689325 12.8168986, 77.6893383 12.8168451, 77.6896083 12.8157024)"
450,11010072955,9780811233,0,35.55081671565295,residential,"LINESTRING (77.6893586 12.8169206, 77.6895197 12.8169149, 77.6895697 12.8168996, 77.6896263 12.8168028)"
451,11010072955,11929997694,0,98.40155434765948,residential,"LINESTRING (77.6893586 12.8169206, 77.689338 12.8171078, 77.6893702 12.8171313, 77.6897188 12.8171679, 77.6900157 12.8172935)"
452,11010072963,9780811235,0,43.54005636350378,residential,"LINESTRING (77.6902599 12.8160574, 77.6902163 12.8160331, 77.6899105 12.8158644)"
453,11010072963,11929997696,0,129.9915541846093,residential,"LINESTRING (77.6902599 12.8160574, 77.6902247 12.8160781, 77.690196 12.8160993, 77.6901598 12.8161268, 77.6901281 12.8161581, 77.6900525 12.8162292, 77.690017 12.8162655, 77.6899826 12.816297, 77.6899103 12.816469, 77.6899 12.81651, 77.6899047 12.8165428, 77.690352 12.8168701)"
454,11010072963,11929997697,0,63.69951273443941,residential,"LINESTRING (77.6902599 12.8160574, 77.6905918 12.8162423, 77.6907632 12.8163524)"
455,11012007914,9780835283,0,77.74581491825137,residential,"LINESTRING (77.7016143 12.8105294, 77.701283 12.8104781, 77.700904 12.8104349)"
456,11012007914,9780835286,0,261.87527778000134,residential,"LINESTRING (77.7016143 12.8105294, 77.7016676 12.8102076, 77.7018637 12.8099633, 77.7019811 12.8096205, 77.7020765 12.8095441, 77.700815 12.8094127)"
457,11022242797,5922720520,0,84.99653640636717,residential,"LINESTRING (77.6872085 12.8247228, 77.6871731 12.8241072, 77.6871699 12.8240575, 77.6871467 12.8240381, 77.6870775 12.8240482)"
458,11022268657,11022268658,0,70.78815782333169,residential,"LINESTRING (77.6853767 12.8242166, 77.685718 12.8241928, 77.6857155 12.8240413, 77.6857022 12.8238904)"
459,11022268658,9780799589,0,92.97217645918738,residential,"LINESTRING (77.6857022 12.8238904, 77.6856833 12.823675, 77.6856082 12.8232878, 77.6854929 12.8230919)"
460,11022268658,11022268657,0,70.78815782333169,residential,"LINESTRING (77.6857022 12.8238904, 77.6857155 12.8240413, 77.685718 12.8241928, 77.6853767 12.8242166)"
461,11022268658,11022268659,0,39.50987623587391,residential,"LINESTRING (77.6857022 12.8238904, 77.6853391 12.8239205)"
462,11022268659,11022268658,0,39.50987623587391,residential,"LINESTRING (77.6853391 12.8239205, 77.6857022 12.8238904)"
463,11022268660,5922720525,0,38.210797873875386,tertiary,"LINESTRING (77.6843378 12.8243442, 77.6841035 12.8246009)"
464,11022268660,11022268661,0,38.45614636058356,residential,"LINESTRING (77.6843378 12.8243442, 77.6846865 12.8244075)"
465,11022268660,11900215340,0,173.84048236164278,tertiary,"LINESTRING (77.6843378 12.8243442, 77.6843637 12.8243159, 77.6846183 12.8240341, 77.6851389 12.823458, 77.6854077 12.82318)"
466,11022268661,11022268660,0,38.45614636058356,residential,"LINESTRING (77.6846865 12.8244075, 77.6843378 12.8243442)"
467,11022372291,11009962487,0,28.722071832935466,residential,"LINESTRING (77.6951809 12.8212359, 77.6951957 12.8214938)"
468,11027164733,1814804293,0,42.32466832406024,residential,"LINESTRING (77.6836867 12.826074, 77.6840738 12.8261232)"
469,11027164733,11007224148,0,28.66801570095083,residential,"LINESTRING (77.6836867 12.826074, 77.6834245 12.8260407)"
470,11027164733,11007224149,0,72.791657419212,residential,"LINESTRING (77.6836867 12.826074, 77.6836815 12.8264779, 77.6836342 12.8265122, 77.6834386 12.8265432)"
471,11175920777,9780835283,0,55.79434991157866,residential,"LINESTRING (77.7007932 12.8109249, 77.700904 12.8104349)"
